Location,Age,Sex,Measure,Metric,Pathogen,Antibiotic class,Counterfactual,Year,Value,Upper,Lower
Kazakhstan,15 to 19,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Associated,1990,4.4288973914644165,5.670914049487962,3.186880733440871
Kazakhstan,15 to 19,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Associated,1991,4.806098295800446,6.165178239538211,3.447018352062681
Kazakhstan,15 to 19,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Associated,1992,5.297271152381533,6.589598497754935,4.0049438070081305
Kazakhstan,15 to 19,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Associated,1993,5.184419372595478,6.402381738548475,3.9664570066424814
Kazakhstan,15 to 19,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Associated,1994,5.239993978409386,6.539772001117037,3.940215955701734
Kazakhstan,15 to 19,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Associated,1995,5.6765456059250905,7.008632063529721,4.34445914832046
Kazakhstan,15 to 19,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Associated,1996,5.248617968466772,6.529613979406538,3.9676219575270055
Kazakhstan,15 to 19,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Associated,1997,5.777248909269074,7.04031879177091,4.514179026767239
Kazakhstan,15 to 19,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Associated,1998,5.511842426989855,6.565352623424005,4.458332230555705
Kazakhstan,15 to 19,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Associated,1999,5.781230798900838,7.020509840180561,4.541951757621114
Kazakhstan,15 to 19,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Associated,2000,6.190096815605037,7.374882727165687,5.0053109040443875
Kazakhstan,15 to 19,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Associated,2001,6.0539383998021,7.327308220344259,4.780568579259942
Kazakhstan,15 to 19,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Associated,2002,6.058061244687277,7.245613741897234,4.87050874747732
Kazakhstan,15 to 19,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Associated,2003,5.883276177746273,7.129717733390053,4.636834622102493
Kazakhstan,15 to 19,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Associated,2004,5.847801811533489,7.077139508788804,4.618464114278174
