Location,Age,Sex,Measure,Metric,Pathogen,Antibiotic class,Counterfactual,Year,Value,Upper,Lower
Kazakhstan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1990,2.2138497669003687,3.007471364650849,1.4202281691498886
Kazakhstan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1991,2.201291128063449,2.973644363677729,1.4289378924491705
Kazakhstan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1992,2.396942551693546,3.2065881689131803,1.5872969344739118
Kazakhstan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1993,2.323499741327588,3.103421429992373,1.5435780526628016
Kazakhstan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1994,2.210957868938507,2.970042356670108,1.4518733812069058
Kazakhstan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1995,2.177469507084292,2.895166684764818,1.4597723294037663
Kazakhstan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1996,1.8725582474214653,2.4916478556376527,1.2534686392052783
Kazakhstan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1997,1.9471828566733849,2.557434217763095,1.3369314955836744
Kazakhstan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1998,1.711418438415062,2.291646066429814,1.1311908104003097
Kazakhstan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1999,1.6815033439077227,2.2170357936993517,1.1459708941160938
Kazakhstan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2000,1.667609499264627,2.1939348336476097,1.1412841648816445
Kazakhstan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2001,1.6423043185851016,2.1500971647883103,1.134511472381893
Kazakhstan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2002,1.6027564191494792,2.1299288629192974,1.075583975379661
Kazakhstan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2003,1.5030482144204393,1.9571275678701705,1.0489688609707082
Kazakhstan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2004,1.5251968463983674,1.9988128364424615,1.0515808563542732
Kazakhstan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2005,1.6097111504839379,2.1308327281751,1.0885895727927757
Kazakhstan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2006,1.669661290149591,2.241156672769976,1.0981659075292063
Kazakhstan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2007,1.6885272349553435,2.2220989736622805,1.1549554962484063
Kazakhstan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2008,1.7321249730043522,2.287103465192545,1.1771464808161594
Kazakhstan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2009,1.6023535214536946,2.0895332169360152,1.1151738259713737
