Location,Age,Sex,Measure,Metric,Pathogen,Antibiotic class,Counterfactual,Year,Value,Upper,Lower
Kyrgyzstan,30 to 34,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,1990,27.67663121503921,36.6425376572996,18.710724772778832
Kyrgyzstan,30 to 34,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,1991,28.89668464528644,38.584084522428974,19.20928476814391
Kyrgyzstan,30 to 34,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,1992,32.56086009438077,42.72890929429749,22.392810894464056
Kyrgyzstan,30 to 34,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,1993,31.832096089494463,42.27696998705512,21.38722219193381
Kyrgyzstan,30 to 34,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,1994,35.493761681624264,45.94180060674466,25.04572275650386
Kyrgyzstan,30 to 34,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,1995,36.66911398344017,47.89936854479912,25.438859422081222
Kyrgyzstan,30 to 34,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,1996,34.21453228309359,44.79829484137769,23.63076972480949
Kyrgyzstan,30 to 34,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,1997,34.39276271668116,45.108917768832896,23.676607664529428
Kyrgyzstan,30 to 34,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,1998,32.817879801862915,42.41591223000873,23.2198473737171
Kyrgyzstan,30 to 34,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,1999,32.24462276740383,42.473883702643555,22.01536183216411
Kyrgyzstan,30 to 34,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,2000,33.19191163701234,44.421762063352645,21.962061210672033
