Location,Age,Sex,Measure,Metric,Pathogen,Antibiotic class,Counterfactual,Year,Value,Upper,Lower
Kyrgyzstan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1990,1.2274773255105242,1.6373045433228464,0.8176501076982021
Kyrgyzstan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1991,1.1030190237757311,1.473120515926256,0.7329175316252061
Kyrgyzstan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1992,1.1599665130902523,1.5294006211174649,0.7905324050630398
Kyrgyzstan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1993,1.021643470188271,1.368811797436928,0.6744751429396141
Kyrgyzstan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1994,1.0074753624963102,1.3393964712304232,0.6755542537621972
Kyrgyzstan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1995,0.9514245670104502,1.265368338534059,0.6374807954868413
Kyrgyzstan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1996,0.9336015243190844,1.2312686053526487,0.6359344432855198
Kyrgyzstan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1997,0.908433636794943,1.19817281581158,0.6186944577783062
Kyrgyzstan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1998,0.8599814015099947,1.1400195011485996,0.5799433018713898
Kyrgyzstan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1999,0.8552010895267474,1.1344546627028145,0.5759475163506804
Kyrgyzstan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2000,0.8715797475465843,1.1589128547554675,0.5842466403377011
Kyrgyzstan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2001,0.8501713530923494,1.1350744356987708,0.5652682704859279
Kyrgyzstan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2002,0.8464978325280906,1.1368773379769637,0.5561183270792176
Kyrgyzstan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2003,0.793928548784977,1.066272218777202,0.521584878792752
Kyrgyzstan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2004,0.7746530846516338,1.0394754498694987,0.509830719433769
Kyrgyzstan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2005,0.7775782119938494,1.0266569860990937,0.5284994378886051
Kyrgyzstan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2006,0.7608849230173634,1.01937187877307,0.502397967261657
Kyrgyzstan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2007,0.7253722656793549,0.953770598616392,0.49697393274231777
Kyrgyzstan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2008,0.5967806636994912,0.7888212289122774,0.40474009848670506
Kyrgyzstan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2009,0.5427297399428952,0.7123799580132597,0.3730795218725307
Kyrgyzstan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2010,0.5699149191897301,0.7243083434223166,0.41552149495714363
Kyrgyzstan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2011,0.5183979636875435,0.6554478613496464,0.38134806602544075
Kyrgyzstan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2012,0.4596454325982011,0.5933852543421145,0.3259056108542877
Kyrgyzstan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2013,0.46230310322491547,0.5985602509106714,0.3260459555391595
Kyrgyzstan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2014,0.46146540191671687,0.5924415783889865,0.33048922544444725
Kyrgyzstan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2015,0.4373256578729207,0.5592744927716379,0.31537682297420355
Kyrgyzstan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2016,0.42281044512508936,0.5351246826637777,0.31049620758640106
Kyrgyzstan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2017,0.4519088746999578,0.5805882166581535,0.3232295327417621
Kyrgyzstan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2018,0.4426268047059607,0.5643033414973165,0.3209502679146049
Kyrgyzstan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2019,0.47671618086638495,0.6059437688841017,0.3474885928486682
Kyrgyzstan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2020,0.4413983595908123,0.5594796230927535,0.32331709608887116
Kyrgyzstan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2021,0.37661827465111,0.4792507646239898,0.27398578467823015
Kyrgyzstan,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1990,0.180788755449869,0.3435244326546742,0.0180530782450638
Kyrgyzstan,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1991,0.1684653003290834,0.3164509141307053,0.0204796865274614
Kyrgyzstan,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1992,0.1622147574229769,0.30680272558108457,0.017626789264869214
Kyrgyzstan,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1993,0.1579134603056386,0.2966092962925303,0.0192176243187469
Kyrgyzstan,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1994,0.1515092575780182,0.2870009298042147,0.0160175853518216
Kyrgyzstan,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1995,0.1535763231593186,0.2871166095281289,0.0200360367905083
Kyrgyzstan,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1996,0.1459045834916946,0.272266615722494,0.0195425512608953
Kyrgyzstan,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1997,0.1444544867029997,0.2678749134540957,0.0210340599519036
Kyrgyzstan,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1998,0.141428435439373,0.2660620966128712,0.0167947742658748
Kyrgyzstan,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1999,0.15045636305211216,0.2780885038003616,0.022824222303862718
Kyrgyzstan,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2000,0.14884289471875356,0.27502110998228235,0.02266467945522474
Kyrgyzstan,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2001,0.1497939041838794,0.2740718365184165,0.02551597184934226
Kyrgyzstan,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2002,0.15608074284017792,0.2857761301056502,0.026385355574705643
