Location,Age,Sex,Measure,Metric,Pathogen,Antibiotic class,Counterfactual,Year,Value,Upper,Lower
Mongolia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1990,1.6277803044163526,2.209928931931569,1.0456316769011362
Mongolia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1991,1.5257621562044823,2.061794200623694,0.9897301117852708
Mongolia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1992,1.4432177488731779,1.9268910508874852,0.9595444468588704
Mongolia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1993,1.3551325889517647,1.802355787048778,0.9079093908547514
Mongolia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1994,1.277751481096799,1.702217060427912,0.8532859017656858
Mongolia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1995,1.1472393970924906,1.525355699615178,0.7691230945698031
Mongolia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1996,1.063164176993872,1.4099473673657583,0.7163809866219855
Mongolia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1997,1.118011627118745,1.4568939211995202,0.7791293330379698
Mongolia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1998,0.9728339078505835,1.2740951902234674,0.6715726254776999
Mongolia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1999,0.8143592375546915,1.0783211442682759,0.5503973308411072
Mongolia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2000,0.7825964299911685,1.0308558072743699,0.5343370527079672
Mongolia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2001,0.7854077080001074,1.0216786899197894,0.5491367260804254
Mongolia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2002,0.6457519868219279,0.8606127866684674,0.4308911869753885
Mongolia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2003,0.6237992151508363,0.8158659306361719,0.43173249966550065
Mongolia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2004,0.5524581553547738,0.7236101343810262,0.3813061763285215
Mongolia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2005,0.4438836720724227,0.5897549765247245,0.2980123676201209
Mongolia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2006,0.4392875248296333,0.5866266288366768,0.2919484208225898
Mongolia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2007,0.46270148577516323,0.6027960033106038,0.3226069682397227
Mongolia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2008,0.3752425563318064,0.49830508590373246,0.2521800267598804
Mongolia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2009,0.33719085801104065,0.4504003218318006,0.22398139419028068
Mongolia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2010,0.3246814406569686,0.43128363314874163,0.21807924816519553
Mongolia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2011,0.362389273951284,0.47733125867048865,0.24744728923207937
Mongolia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2012,0.3627503148140171,0.47979268853334,0.24570794109469418
Mongolia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2013,0.32131543896949566,0.4263648190324012,0.21626605890659012
Mongolia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2014,0.33322326223958776,0.43304078738329294,0.23340573709588258
Mongolia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2015,0.3166950729404508,0.40859549500206016,0.22479465087884146
Mongolia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2016,0.29472776935427736,0.3798148239155921,0.2096407147929626
Mongolia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2017,0.29292946708842044,0.37818211970693416,0.20767681446990674
Mongolia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2018,0.2888239443203691,0.3711708346669324,0.20647705397380584
Mongolia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2019,0.30361137595730303,0.39363669053572825,0.2135860613788778
Mongolia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2020,0.25438125305805614,0.33655269653157804,0.17220980958453425
Mongolia,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2021,0.24639236425313527,0.3205044641979847,0.17228026430828586
Mongolia,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1990,0.1969742078886723,0.3940627762758658,0
Mongolia,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1991,0.1849555677768675,0.3673245419539772,0.0025865935997577
Mongolia,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1992,0.17524252604720053,0.3428939032723066,0.007591148822094412
Mongolia,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1993,0.1680716523491018,0.3208986976718329,0.0152446070263707
Mongolia,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1994,0.1582835326310148,0.3069297803718362,0.0096372848901933
Mongolia,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1995,0.1488370468503923,0.2852405494627639,0.0124335442380207
Mongolia,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1996,0.1381576343412133,0.2594528168047456,0.0168624518776811
Mongolia,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1997,0.1300943600874755,0.242482270133046,0.0177064500419051
Mongolia,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1998,0.120753569133279,0.2265907288536432,0.0149164094129148
Mongolia,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1999,0.11185483928416126,0.20914688973842266,0.014562788829899864
Mongolia,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2000,0.10527405877273815,0.19579588361097416,0.014752233934502132
Mongolia,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2001,0.09852556062691681,0.180817002799062,0.01623411845477163
Mongolia,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2002,0.09315661060378912,0.17253140308328818,0.013781818124290052
Mongolia,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2003,0.08813813937326354,0.16259599251086213,0.013680286235664946
Mongolia,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2004,0.08343163377856674,0.1515463999301155,0.015316867627017977
Mongolia,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2005,0.08393260049420172,0.1525090955499171,0.01535610543848634
Mongolia,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2006,0.08829627621483171,0.1611746371065358,0.015417915323127626
Mongolia,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2007,0.0935627298868883,0.17052411444745,0.016601345326326594
Mongolia,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2008,0.09738283124794624,0.17218949400012032,0.022576168495772153
Mongolia,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2009,0.0960004326095309,0.16961616885003178,0.022384696369029997
Mongolia,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2010,0.09309787276578865,0.1679661799238189,0.018229565607758416
Mongolia,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2011,0.09208721553158973,0.16089731486624576,0.023277116196933692
Mongolia,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2012,0.09755419375379121,0.17039455274425375,0.024713834763328654
Mongolia,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2013,0.09249739822705874,0.16359351817496065,0.02140127827915682
Mongolia,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2014,0.09019452837775196,0.15711271274332905,0.023276344012174877
Mongolia,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2015,0.07753932417014298,0.13484670123792822,0.020231947102357734
Mongolia,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2016,0.07549116579128096,0.13116083952055485,0.01982149206200707
Mongolia,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2017,0.07564091002891746,0.1290205821552849,0.022261237902550024
Mongolia,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2018,0.07659888894111996,0.13075264806141082,0.0224451298208291
Mongolia,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2019,0.07681191259492212,0.13221606870627556,0.021407756483568678
Mongolia,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2020,0.06582856338649389,0.11500820456073282,0.016648922212254953
Mongolia,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2021,0.06815389089472082,0.11715461988232595,0.01915316190711569
Mongolia,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,1990,0.3372481688766844,0.689812861408687,0
Mongolia,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,1991,0.3047229343389195,0.6110216911477321,0
Mongolia,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,1992,0.27301361140218056,0.5348007321054095,0.011226490698951652
Mongolia,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,1993,0.2308685261166471,0.4401474920786755,0.0215895601546186
Mongolia,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,1994,0.234409949606462,0.4475073240732569,0.0213125751396672
Mongolia,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,1995,0.1962981756270959,0.3656513815904035,0.0269449696637882
Mongolia,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,1996,0.172535422198647,0.3159451117511561,0.0291257326461379
Mongolia,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,1997,0.1608228181172945,0.2900134358765855,0.0316322003580035
Mongolia,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,1998,0.1540805927096343,0.2771900090751469,0.0309711763441217
Mongolia,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,1999,0.12937715933823962,0.2294841776115747,0.029270141064904553
Mongolia,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,2000,0.11639140909436033,0.20427776244376133,0.028505055744959318
Mongolia,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,2001,0.11038078575817703,0.19277120929266633,0.027990362223687712
Mongolia,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,2002,0.10074896558990287,0.17840130605482157,0.023096625124984185
Mongolia,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,2003,0.0866702175526344,0.14917431551134608,0.024166119593922716
Mongolia,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,2004,0.0824413155978444,0.13981852084192845,0.025064110353760362
Mongolia,1-5 months,Both sexes,Deaths,Number,Escherichia coli,Carbapenems,Attributable,2005,0.07453975273254973,0.12510906645950332,0.02397043900559613
