Location,Age,Sex,Measure,Metric,Pathogen,Antibiotic class,Counterfactual,Year,Value,Upper,Lower
Tajikistan,1-5 months,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,1990,281.69501355107536,367.2163967606524,196.17363034149835
Tajikistan,1-5 months,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,1991,250.66581325822847,334.49160649681846,166.84002001963862
Tajikistan,1-5 months,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,1992,253.2227118740138,336.2071962179982,170.2382275300294
Tajikistan,1-5 months,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,1993,245.14934385322871,327.3441766086048,162.95451109785262
Tajikistan,1-5 months,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,1994,250.82215448584697,332.2821220560588,169.36218691563516
Tajikistan,1-5 months,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,1995,242.6193010534074,325.23358564002785,160.00501646678694
Tajikistan,1-5 months,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,1996,226.46594323148395,305.58296147881134,147.34892498415655
Tajikistan,1-5 months,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,1997,233.251056900578,309.8535025542051,156.64861124695085
Tajikistan,1-5 months,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,1998,215.10161634012724,287.0143837129539,143.1888489673006
Tajikistan,1-5 months,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,1999,197.34659773057973,265.8812499512193,128.8119455099402
Tajikistan,1-5 months,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,2000,199.4316762537954,264.9701087817693,133.8932437258215
Tajikistan,1-5 months,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,2001,191.0653319975013,254.79260218261365,127.33806181238893
Tajikistan,1-5 months,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,2002,178.9061127901793,241.70585903975535,116.10636654060323
Tajikistan,1-5 months,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,2003,168.0681410270464,228.2864825544827,107.84979949961014
Tajikistan,1-5 months,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,2004,167.03612206623063,225.0185660192745,109.05367811318678
Tajikistan,1-5 months,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,2005,163.6791135761795,221.0773877315449,106.28083942081412
Tajikistan,1-5 months,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,2006,167.98287215758305,228.98749807723712,106.97824623792897
Tajikistan,1-5 months,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,2007,165.5407191718404,225.3495241809722,105.73191416270862
Tajikistan,1-5 months,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,2008,171.19595131530764,234.6411697868853,107.75073284372996
Tajikistan,1-5 months,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,2009,179.13026588912723,241.4210464548431,116.83948532341137
Tajikistan,1-5 months,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,2010,177.31605436591676,240.363087287999,114.2690214438345
Tajikistan,1-5 months,Both sexes,DALYs (Disability-Adjusted Life Years),Number,Acinetobacter baumannii,Carbapenems,Attributable,2011,188.01577856705217,249.04303710647395,126.9885200276304
