Location,Age,Sex,Measure,Metric,Pathogen,Antibiotic class,Counterfactual,Year,Value,Upper,Lower
Tajikistan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1990,3.124442967473585,4.072255401526918,2.1766305334202523
Tajikistan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1991,2.7798724488126187,3.708485560214872,1.851259337410367
Tajikistan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1992,2.8081769246425576,3.727309626131368,1.8890442231537472
Tajikistan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1993,2.7181952911209795,3.629393849929466,1.8069967323124927
Tajikistan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1994,2.7812280996902965,3.6839121140363176,1.878544085344276
Tajikistan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1995,2.6901084050334894,3.606199270520547,1.7740175395464317
Tajikistan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1996,2.510757842353715,3.387468990246734,1.6340466944606962
Tajikistan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1997,2.5864152711121022,3.4359328475438966,1.736897694680308
Tajikistan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1998,2.3843856885888792,3.182185506079225,1.5865858710985332
Tajikistan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,1999,2.1877395432001174,2.9483773160746853,1.4271017703255495
Tajikistan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2000,2.210901643749044,2.9383461683358867,1.4834571191622012
Tajikistan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2001,2.1182246640921627,2.8264474351589675,1.410001893025358
Tajikistan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2002,1.9835468123009017,2.681148481910858,1.2859451426909452
Tajikistan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2003,1.8633716046985809,2.5315491224156963,1.1951940869814655
Tajikistan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2004,1.8520471397222615,2.4959807162249548,1.2081135632195683
Tajikistan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2005,1.8148360978106908,2.451926925861447,1.1777452697599347
Tajikistan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2006,1.862451851177259,2.5394101698022298,1.1854935325522882
Tajikistan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2007,1.8354581385753428,2.499053439880715,1.1718628372699706
Tajikistan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2008,1.898051392774044,2.602301327702846,1.1938014578452423
Tajikistan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2009,1.9860677611618083,2.6777611128745162,1.2943744094491
Tajikistan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2010,1.9660644238275595,2.6660985560403665,1.2660302916147523
Tajikistan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2011,2.0846754966202647,2.7622071584583963,1.4071438347821332
Tajikistan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2012,1.9231773173862816,2.588719042561414,1.2576355922111488
Tajikistan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2013,1.8986873627720262,2.572682139215488,1.2246925863285645
Tajikistan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2014,1.987819365280367,2.6172698307854723,1.3583688997752619
Tajikistan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2015,2.0788957452487837,2.737015600863059,1.4207758896345086
Tajikistan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2016,2.2201048653116064,2.9425675658843646,1.4976421647388483
Tajikistan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2017,2.244907450202369,2.951257676012959,1.5385572243917793
Tajikistan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2018,2.2507331457281157,2.9647618088169514,1.53670448263928
Tajikistan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2019,2.3407723573757133,3.0864385892197888,1.5951061255316379
Tajikistan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2020,2.126968762593589,2.751736846797269,1.502200678389909
Tajikistan,1-5 months,Both sexes,Deaths,Number,Acinetobacter baumannii,Carbapenems,Attributable,2021,1.793381857032667,2.3645559682308286,1.2222077458345053
Tajikistan,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1990,0.3830303007031646,0.6888433026425613,0.0772172987637677
Tajikistan,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1991,0.3604218012325313,0.6562972545037301,0.0645463479613326
Tajikistan,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1992,0.3569885770220258,0.642189779608511,0.07178737443554062
Tajikistan,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1993,0.347536770976842,0.6343067788721253,0.0607667630815586
Tajikistan,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1994,0.3418954848565472,0.6321003202977471,0.0516906494153472
Tajikistan,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1995,0.3355615051382695,0.6263219747181601,0.0448010355583789
Tajikistan,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1996,0.32651722859993,0.5841067988171549,0.068927658382705
Tajikistan,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1997,0.3272635407218416,0.6126435562747354,0.0418835251689478
Tajikistan,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1998,0.3072249161069318,0.5598629947039954,0.0545868375098682
Tajikistan,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,1999,0.29350683488091855,0.5390079550516841,0.048005714710153
Tajikistan,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2000,0.2809967981395626,0.5106205283613792,0.05137306791774596
Tajikistan,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2001,0.28826308029276904,0.5152179895514158,0.061308171034122255
Tajikistan,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2002,0.2786771127614208,0.5012593042641923,0.05609492125864937
Tajikistan,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2003,0.25329701269802035,0.4517701486936576,0.05482387670238306
Tajikistan,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2004,0.2690234292871258,0.43226215784598326,0.10578470072826834
Tajikistan,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2005,0.2518508455473616,0.3537316491340769,0.14997004196064628
Tajikistan,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2006,0.20990178170347581,0.28751311635197124,0.1322904470549804
Tajikistan,1-5 months,Both sexes,Deaths,Number,Enterobacter spp.,Carbapenems,Attributable,2007,0.26954717727281163,0.4588222682912476,0.08027208625437568
